ltable_id,rtable_id
2367,12513
2367,18883
2367,19395
2367,13385
2367,20235
2367,12432
2367,15379
2367,15380
2367,19449
2367,5374
1152,20708
1152,8742
1152,2763
1152,10708
1152,5883
1152,12735
558,20708
558,8742
558,2763
558,10708
1512,9344
1512,9345
1512,9346
1512,9347
1512,13315
1512,13316
1512,19084
1512,8078
1512,6546
1512,5278
1512,5279
1512,5280
1512,5281
1512,19359
1512,7331
1512,7332
1512,7333
1512,7334
1512,7335
1512,12069
1512,19360
1512,11306
1512,11307
1512,19628
1512,2500
1512,1350
1512,1351
1512,1352
1512,1353
1512,1354
1512,14025
1512,19144
1512,15309
1512,11598
1512,15311
1512,15312
1512,19683
1512,21606
1512,17127
1512,20199
1512,20843
1512,20844
1512,9340
1512,9341
1512,17534
594,9344
594,9345
594,9346
594,9347
594,13315
594,13316
594,19084
594,8078
594,6546
594,5278
594,5280
594,5281
594,19359
594,7331
594,7332
594,7333
594,7335
594,12069
594,19360
594,11306
594,19628
594,2500
594,1350
594,1351
594,1352
594,1353
594,1354
594,14025
594,19144
594,15309
594,11598
594,15311
594,15312
594,19683
594,19684
594,21606
594,17127
594,20199
594,20844
594,9340
594,9341
594,17534
222,9344
222,9345
222,9346
222,9347
222,13315
222,13316
222,19084
222,8078
222,6546
222,5278
222,5279
222,5280
222,5281
222,19359
222,7331
222,7332
222,7333
222,7334
222,7335
222,12069
222,19360
222,11306
222,11307
222,19628
222,2500
222,1350
222,1351
222,1352
222,1353
222,14025
222,19144
222,15309
222,11598
222,15311
222,15312
222,19683
222,19684
222,21606
222,17127
222,20199
222,20843
222,20844
222,9340
222,9341
2498,14624
2498,16353
2498,17568
2498,21121
2498,18522
2498,21971
2498,16660
2498,16661
2498,1270
2498,17529
2498,3258
2498,17247
1637,14624
1637,16353
1637,17568
1637,21121
1637,18522
1637,21971
1637,16660
1637,16661
1637,1270
1637,3258
1637,17247
2046,14624
2046,16353
2046,17568
2046,21121
2046,18522
2046,21971
2046,16660
2046,16661
2046,1270
2046,17529
2046,3258
2046,17247
785,14802
1964,14802
1986,6413
1986,15134
1986,17527
1264,2910
1264,12899
1264,934
1775,2910
1775,12899
1775,934
921,20935
921,21640
921,11018
921,11019
921,8461
921,17358
921,2449
921,819
921,21915
921,18301
921,20159
1123,20639
1123,20935
1123,11018
1123,11019
1123,8461
1123,17358
1123,2449
1123,498
1123,819
1123,21915
1123,20638
1123,20159
732,16655
732,3737
732,18207
732,17567
732,9787
732,17728
732,19522
732,4166
732,16970
732,7755
732,16971
732,18513
732,15703
732,15704
732,14553
732,21108
732,19965
1559,16393
1559,3737
1559,18207
1559,17567
1559,9787
1559,17728
1559,19522
1559,4166
1559,16970
1559,7755
1559,16971
1559,18513
1559,15703
1559,15704
1559,14553
1559,17636
1559,21108
1559,19965
1144,17744
1144,20724
1144,17838
1144,14790
1452,17250
1452,18594
1452,19682
1452,18216
1452,17641
1452,17642
1452,7276
1452,12047
1452,10064
1452,13937
1452,17978
1452,16733
1172,18435
1172,16647
1172,16781
1172,16782
1172,17680
1172,18964
1172,7831
1172,17177
1172,17819
1172,18986
1172,16301
1172,16187
1172,16189
1172,18633
1172,17355
1172,17486
1172,18136
1172,13273
1172,224
1172,3680
1172,103
1172,5994
1172,17644
1172,20977
1172,2038
1172,254
493,12565
1450,9282
1450,19076
1450,20772
1450,15244
1450,15245
1450,1300
1450,21976
1450,3290
1450,7294
2331,9282
2331,15244
2331,15245
2331,1300
2331,21976
119,9282
119,19076
119,20772
119,15244
119,15245
119,1300
119,21976
119,3290
119,7294
1037,14113
1037,10055
1037,4136
1037,13674
1037,6129
1037,14905
1896,8481
1896,19234
1896,4392
1896,523
1896,524
1896,6422
1896,6425
1251,8481
1251,19234
1251,4392
1251,523
1251,524
1251,6422
1251,6425
1346,15105
1346,2307
1346,10885
1346,5768
1346,2443
1346,14349
1346,17552
1346,18704
1346,15385
1346,3359
1346,290
1346,21540
1346,11941
1346,19123
1346,17844
1346,3897
1346,4795
1346,12229
1346,18758
1346,10567
1346,10826
1346,20173
1346,20308
1346,2775
1346,16343
1346,1379
1346,18798
1346,240
1346,6385
1346,17524
1346,17525
1346,18167
133,15105
133,2307
133,10885
133,5768
133,2443
133,14349
133,17552
133,18704
133,15385
133,3359
133,290
133,21540
133,11941
133,19123
133,17844
